#{"t_start": 1768076013.2528527, "env_id": "None"}
r,l,t
0.6765,79,8.063561
0.686,91,8.643077
0.7055,58,9.008601
1.662,92,9.603111
1.586,96,10.233523
0.672,82,10.754392
1.6015,94,14.234641
2.5075,110,15.186238
2.5,115,16.282698
-0.2105,62,16.703627
1.5805,83,17.247797
0.696,71,19.79298
0.7015,84,20.336736
0.685,95,20.972831
0.7225,70,21.446447
-0.193,57,21.826921
2.484,104,22.49282
6.168,183,25.734413
0.7565,84,26.274653
-0.214,76,27.005343
3.4945,112,27.997129
0.7035,81,28.672175
2.5365,109,31.442245
