#{"t_start": 1768076049.7040577, "env_id": "None"}
r,l,t
0.7225,70,1.696463
0.767,67,3.002133
0.712,77,4.816963
1.6355,78,6.071901
0.689,74,7.006819
-0.142,63,7.934502
2.495,105,13.204654
1.624,114,13.932763
-0.1745,58,14.300174
1.6495,62,14.703242
0.7485,91,15.466239
-0.219,76,16.114028
1.6035,96,19.082341
1.61,100,19.726362
-0.2115,61,20.113494
2.515,95,20.722118
1.6005,108,21.400952
3.393,118,22.152836
1.6055,103,25.119607
2.517,112,25.832871
1.6125,85,26.371956
0.6835,86,26.916702
1.61,105,27.776104
2.5695,117,30.994299
1.5885,106,31.668204
3.3905,113,32.387328
2.5065,99,33.029885
1.5855,93,33.616735
5.234,144,36.570339
4.309,139,37.447351
2.5325,90,38.034644
5.215,135,38.902196
3.4035,136,42.303178
0.682,67,42.744269
4.297,102,43.394668
5.2495,132,44.208643
2.5145,102,44.854123
4.314,109,47.541511
8.882,182,48.70431
5.1935,111,49.395601
4.3055,103,50.060673
7.056,166,53.729265
7.066,166,54.80488
4.3,80,55.36121
4.3125,115,58.148585
4.335,95,58.761912
7.072,162,59.805513
5.199,119,60.573905
8.024,194,64.049837
7.117,187,65.768072
11.563,178,66.93869
9.782,187,70.207974
7.94,160,71.231695
5.209,139,72.109303
8.878,178,75.291572
4.299,109,76.057576
8.872,152,77.387932
8.864,189,80.923931
7.983,158,81.935001
5.191,106,82.613894
7.957,167,83.68095
7.929,164,86.804365
5.2025,105,87.495431
9.832,182,88.881009
7.934,154,92.317332
8.904,224,93.742163
6.152,152,94.752449
6.113,133,97.619277
7.951,176,98.732806
6.129,134,99.602754
7.112,147,100.640819
10.696,196,104.374496
7.918,148,105.307939
8.877,167,106.381556
9.808,198,109.74456
7.99,190,111.309911
7.082,132,112.15446
7.947,182,115.839435
7.056,151,116.799464
10.674,199,118.070539
7.049,159,121.130246
10.655,160,122.129841
8.867,197,123.363585
6.145,100,126.526215
5.1865,114,127.325006
9.847,137,128.200544
7.949,154,129.159226
7.063,173,132.314904
7.012,122,133.114975
8.848,183,134.260352
7.949,179,138.525466
8.842,162,139.758853
11.604,234,143.286592
8.051,191,144.508157
8.848,148,145.433189
9.79,170,148.615295
9.759,179,150.015129
8.846,176,151.562935
7.964,164,154.678801
10.675,165,155.725483
8.855,155,156.710364
7.027,137,157.575941
12.545,255,161.289347
10.651,151,162.574297
7.933,163,165.982299
9.731,151,166.94681
10.671,201,168.231615
10.667,197,171.51193
5.269,109,172.21154
14.338999,264,174.035214
7.936,171,177.627349
8.875,175,178.752033
10.709,204,180.099959
10.664,189,183.390606
9.77,200,184.714218
7.959,169,185.788002
12.453,188,189.542211
8.88,180,190.701412
12.468,198,194.018889
7.0705,118,194.757339
10.729,214,196.138816
11.628,213,200.077821
6.153,118,200.894967
10.708,198,202.142067
9.779,189,205.404678
10.658,188,206.607824
9.746,171,207.675191
10.68,215,211.435952
12.486,206,213.105795
9.765,165,214.155091
11.563,183,217.367527
11.622,247,218.956299
13.398999,209,222.34055
10.703,193,224.0015
11.592,222,227.64043
13.425,240,229.180263
13.391999,212,230.51609
10.682,192,233.736797
13.424,244,235.580389
12.55,215,239.401617
16.112999,248,240.98465
11.599,234,244.502466
14.305999,226,245.951821
12.519,214,249.875337
12.51,205,251.168314
11.622,242,252.68161
15.244999,275,256.464554
17.984999,235,257.935478
15.221999,247,262.083194
7.9435,141,262.97093
16.204999,285,266.866616
13.436999,232,268.328179
12.479999,180,271.641075
17.055999,236,273.648493
10.6515,184,274.82121
15.268999,249,278.460984
8.85,180,279.645104
